userId,country,region
54112,China,NULL
54244,Sri Lanka,Western Province
54785,India,NULL
54836,Brazil,State of Paraná
54912,United States,NULL
54961,Russia,Republic of Tatarstan
54969,India,NULL
55047,India,NULL
55144,United States,California
55176,South Korea,Gyeonggi-do
55183,Paraguay,NULL
55334,Belgium,Flanders
55374,Argentina,NULL
55382,France,NULL
55402,United Kingdom,Scotland
55551,United States,Massachusetts
55634,United States,NULL
55870,India,Karnataka
55895,Netherlands,North Holland
56101,France,NULL
56115,India,Telangana
56166,United States,NULL
56281,United States,California
56360,United States,Colorado
56410,United States,NULL
92327,United States,NULL
92449,Portugal,NULL
92650,Sweden,Stockholm County
92715,United States,California
92820,India,Karnataka
92838,China,NULL
92987,Austria,Vienna
93119,United States,NULL
93225,United States,California
93226,United States,NULL
93273,United States,California
93380,Hungary,NULL
93449,United States,NULL
93506,India,Karnataka
93644,India,NULL
93648,United Kingdom,England
93682,Germany,Baden-Württemberg
93766,Australia,New South Wales
93777,Brazil,NULL
93804,Croatia,NULL
93913,United States,California
93997,Singapore,NULL
94264,United States,NULL
94489,India,Karnataka
94492,Jordan,NULL
94510,Turkey,Istanbul
94532,Sweden,Skåne County
94715,United States,NULL
94822,Mexico,Jalisco
94827,United States,NULL
94843,United States,NULL
95045,United States,California
95078,Germany,Bavaria
95088,United States,California
95093,United Kingdom,England
95094,United States,Oregon
95146,United Kingdom,NULL
95482,India,Karnataka
95601,Spain,NULL
95629,United States,New York
95749,India,Telangana
95906,Latvia,NULL
95955,India,NULL
95984,United States,NULL
96054,United States,NULL
96135,Australia,South Australia
96293,United States,New Jersey
96359,United States,California
96381,Australia,NULL
96423,Russia,NULL
96648,India,NULL
96650,India,Delhi
96682,France,Île-de-France
96870,South Korea,Seoul
96875,India,Karnataka
96924,South Korea,NULL
97103,United States,NULL
97134,Japan,Kanagawa
97435,United States,California
97455,Bangladesh,Dhaka Division
97476,India,Maharashtra
97634,India,NULL
97777,United States,NULL
97877,United States,California
97948,Hong Kong,NULL
97992,South Korea,Seoul
98094,South Korea,Gwangju
98095,United States,California
98141,India,Punjab
98238,Italy,Campania
98249,China,NULL
98259,Australia,Victoria
98474,Paraguay,NULL
98498,India,Telangana
98537,Israel,Center District
98575,United States,California
98598,China,Sichuan
98671,United States,NULL
98736,United States,North Carolina
98807,Brazil,State of São Paulo
98882,Japan,Tokyo
98930,United Kingdom,England
98935,United Kingdom,England
99029,Turkey,Istanbul
99060,United States,Indiana
99177,United Kingdom,Scotland
99195,Singapore,NULL
99344,Australia,NULL
99350,Sri Lanka,Western Province
99460,Argentina,Buenos Aires
99474,Peru,Lima Region
99783,United States,California
99814,United States,Illinois
99902,India,NULL
99997,United States,California
99998,India,Telangana
100095,Bulgaria,Sofia City Province
100208,United States,NULL
100213,United States,NULL
100236,United States,New Jersey
100247,United States,NULL
100271,France,NULL
100409,United States,California
100439,United Kingdom,NULL
100725,United States,Texas
100908,Greece,NULL
100963,India,NULL
100989,India,NULL
101003,Netherlands,South Holland
101028,United States,Virginia
101101,Australia,New South Wales
101212,United States,NULL
101283,Netherlands,NULL
101363,Germany,NULL
101388,United States,NULL
101494,Germany,NULL
101757,United Kingdom,England
101841,Belgium,NULL
101869,United Kingdom,England
101878,Canada,Quebec
101938,United States,District of Columbia
102164,Canada,NULL
102182,Australia,Victoria
102196,United Arab Emirates,Dubai
102203,Singapore,NULL
102240,Brazil,NULL
102364,India,Uttar Pradesh
102500,India,Madhya Pradesh
102551,Russia,Chelyabinsk Oblast
159796,Taiwan,NULL
159865,Canada,Ontario
160127,United Kingdom,NULL
160145,United Kingdom,NULL
160203,India,Karnataka
160223,Indonesia,NULL
160267,Argentina,Buenos Aires
160278,Canada,Ontario
160412,India,West Bengal
160463,India,NULL
160492,Poland,NULL
160766,Portugal,NULL
160954,United States,North Carolina
161004,France,Auvergne-Rhône-Alpes
161063,France,NULL
161283,United States,Massachusetts
161391,United States,Utah
161427,Germany,Bavaria
161621,Japan,Tokyo
161660,Germany,Hamburg
161704,United States,NULL
161861,United States,NULL
161896,Australia,NULL
161932,India,Karnataka
161968,India,Telangana
162010,Brazil,NULL
162114,United States,Pennsylvania
163315,Canada,British Columbia
163546,United Kingdom,NULL
163598,Morocco,Casablanca-Settat
163630,United States,Illinois
163663,United States,Washington
163677,Ireland,NULL
163918,United States,Oregon
163957,United States,NULL
163975,Brazil,State of São Paulo
163977,United States,NULL
164115,Canada,Ontario
164129,Japan,Tokyo
164146,Japan,Tokyo
164154,United States,NULL
164192,Brazil,State of São Paulo
164353,France,NULL
164524,Japan,Tokyo
164703,South Africa,Gauteng
164864,United States,NULL
164907,India,Andhra Pradesh
165110,United Kingdom,England
165118,United States,Arizona
165295,Sweden,Skåne County
165388,Canada,Ontario
165406,United States,NULL
165424,Spain,NULL
165544,China,Anhui
165622,United Kingdom,England
165931,India,NULL
165956,United States,Florida
166023,France,NULL
166041,Australia,New South Wales
166527,United States,NULL
166556,United States,Texas
166565,Netherlands,South Holland
166611,Switzerland,Zurich
166630,United States,NULL
166753,Taiwan,NULL
166762,India,NULL
166871,Singapore,NULL
166990,Taiwan,NULL
167048,Taiwan,Taoyuan City
167077,India,Karnataka
167124,India,Tamil Nadu
167132,India,Maharashtra
167226,United States,NULL
167277,United States,NULL
167453,Germany,North Rhine-Westphalia
167537,United Kingdom,England
167628,China,Beijing
167673,United States,NULL
167748,India,Telangana
167790,United States,NULL
167841,India,Goa
167844,United States,NULL
168017,Germany,Hesse
168086,India,Karnataka
168104,United States,NULL
168238,Spain,NULL
168314,Bolivia,La Paz Department
168406,India,Telangana
168409,United States,NULL
168617,United States,NULL
168670,India,Uttar Pradesh
168728,India,Maharashtra
